GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons CLI,org.apache.commons.cli.help,HelpAppendable,0,13,0,0,0,4,0,2,0,2
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter,6,327,0,26,2,70,2,35,2,22
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition.new TableDefinition() {...},0,27,0,0,0,5,0,5,0,5
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Alignment,0,21,0,0,0,4,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter.Builder,2,62,2,2,0,19,2,10,0,10
Apache Commons CLI,org.apache.commons.cli.help,FilterHelpAppendable,9,20,0,0,2,7,1,3,1,3
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter,3,361,1,29,0,54,1,32,0,18
Apache Commons CLI,org.apache.commons.cli.help,TextStyle,0,222,0,20,0,43,0,21,0,11
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Builder,0,89,0,0,0,30,0,14,0,14
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition,0,8,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,Util,0,104,1,25,0,21,1,20,0,8
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter,0,159,0,10,0,29,0,8,0,3
Apache Commons CLI,org.apache.commons.cli.help,TextHelpAppendable,0,911,0,82,0,167,0,66,0,25
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter.Builder,2,187,0,0,1,42,1,13,1,13
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter.Builder,0,16,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,PosixParser,0,333,0,54,0,69,0,34,0,7
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes,0,84,0,8,0,21,0,12,0,8
Apache Commons CLI,org.apache.commons.cli,MissingArgumentException,0,22,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,HelpFormatter,17,1124,9,127,5,241,9,109,0,50
Apache Commons CLI,org.apache.commons.cli,CommandLine,4,688,0,78,2,135,0,112,0,73
Apache Commons CLI,org.apache.commons.cli,Option.Builder,3,129,0,8,1,42,1,26,1,22
Apache Commons CLI,org.apache.commons.cli,DefaultParser,22,1048,16,188,4,221,16,119,0,33
Apache Commons CLI,org.apache.commons.cli,DefaultParser.Builder,0,38,0,0,0,12,0,6,0,6
Apache Commons CLI,org.apache.commons.cli,ParseException,0,25,0,4,0,9,0,5,0,3
Apache Commons CLI,org.apache.commons.cli,Options,17,326,0,26,4,67,1,31,1,18
Apache Commons CLI,org.apache.commons.cli,OptionValidator,3,137,0,24,1,22,1,17,1,5
Apache Commons CLI,org.apache.commons.cli,Option,9,615,3,77,3,145,3,91,0,54
Apache Commons CLI,org.apache.commons.cli,OptionBuilder,8,141,0,4,3,60,2,21,2,19
Apache Commons CLI,org.apache.commons.cli,Parser,5,391,3,73,2,102,3,48,0,13
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,Util,0,83,1,23,0,16,1,16,0,5
Apache Commons CLI,org.apache.commons.cli,DefaultParser.NonOptionAction,0,27,0,0,0,5,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,PatternOptionBuilder,8,191,1,43,4,53,3,31,2,6
Apache Commons CLI,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,AmbiguousOptionException,0,61,0,4,0,16,0,5,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine.Builder,0,61,0,4,0,16,0,10,0,8
Apache Commons CLI,org.apache.commons.cli,BasicParser,0,5,0,0,0,3,0,2,0,2
Apache Commons CLI,org.apache.commons.cli,GnuParser,0,144,0,22,0,31,0,13,0,2
Apache Commons CLI,org.apache.commons.cli,AlreadySelectedException,0,41,0,0,0,11,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,Converter,0,53,0,2,0,8,0,7,0,6
Apache Commons CLI,org.apache.commons.cli,MissingOptionException,0,46,0,2,0,10,0,5,0,4
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes.Builder,0,29,0,0,0,9,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,OptionGroup,0,136,1,15,0,37,1,17,0,10
Apache Commons CLI,org.apache.commons.cli,TypeHandler,6,195,0,2,2,40,0,20,0,19
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.Builder,0,59,0,2,0,13,0,9,0,8
